"","title","primary_setting","secondary_setting","author_first","author_last","age","type","format","book_summary","group_1","group_2","own_voice","setting","continent","iso","iso2","region","author","Hardcover","Paperback","Audio","Out_of_Stock.Print","origin_1","origin_2","cultures"
"352","Brothers in Hope: The Story of the Lost Boys of Sudan","South Sudan","Ethiopia","Mary","Williams","7+","Picture Book","Available in Hardcover","A young boy unites with thousands of other orphaned boys to walk to safety in a refugee camp in another country, after war destroys their villages in southern Sudan. Based on true events. Eight-year-old Garang, orphaned by a civil war in Sudan, finds the inner strength to help lead other boys as they trek hundreds of miles seeking safety in Ethiopia, then Kenya, and finally in the United States.","South Sudanese","","No","South Sudan , Ethiopia","Africa","SS","ET","Sub-Saharan Africa","Mary Williams","Yes",NA,NA,NA,"South Sudanese","","South Sudanese"
"353","I Remember Warm Rain","South Sudan","Somalia","Telling Room (Editior)","","12+","Middle Grade","Available in Paperback","Fifteen students, from countries such as Somalia, Iraq, Sudan, and Iran are represented in our first anthology, I Remember Warm Rain. In it, you meet Ali killing hyenas and Arunda speaking to his father by phone after ten years of believing he is dead. You meet Kahiye, revealing his first experience of snow, and Stella doing something once forbidden to her, playing a game she loves: soccer. These rich stories were written as part of The Telling Room's yearlong Story House Project, a multi-media initiative built on the collaborative efforts of local artists, writers, filmmakers, sound technicians, teachers and the 15 young storytellers who bravely told their tales of leaving home in hopes of finding a new one in America.","Southern Sudanese","Muslim","Yes","South Sudan , Somalia","Africa","SS","SO","Sub-Saharan Africa","Telling Room (Editior) ",NA,"Yes",NA,NA,"South Sudanese","Muslim","South Sudanese , Muslim"
"354","Home of the Brave","Sudan","United States","Katherine","Applegate","10+","Middle Grade","Available in Paperback","Kek comes from Africa. In America, he sees snow for the first time, and feels its sting. He's never walked on ice, and he falls. He wonders if the people in this new place will be like the winter--cold and unkind. In Africa, Kek lived with his mother, father, and brother. But only he and his mother have survived, and now she's missing. Kek is on his own. Slowly, he makes friends: a girl who is in foster care, an old woman who owns a rundown farm, and a cow whose name means """"family"""" in his native language. As Kek awaits word of his mother's fate, he weathers the tough Minnesota winter by finding warmth in his new friendships, strength in his memories, and belief in his new country. Bestselling author Katherine Applegate presents a beautifully wrought novel about an immigrant's journey from hardship to hope.","Sudanese","Sudanese American","No","Sudan , United States","Africa","SD","US","Sub-Saharan Africa","Katherine Applegate",NA,"Yes",NA,NA,"Sudanese","Sudanese","Sudanese"
"355","Hare in the Elephant's Trunk, A","South Sudan","Ethiopia","Jan","Coates","12+","Young Adult","Available in Paperback","In the little village of Duk Padiet in southern Sudan, a boy named Jacob Deng thrives on the love of his mother, the companionship of his sisters, the excitement of learning how to look after his uncle's herds of cattle. The year is 1987, and suddenly in the night soldiers from the north invade the village, looting, burning, and killing. The war has arrived, and the life of Jacob will never be the same.

This novel is based on the real life experiences of a Sudanese boy who, with thousands of other boys from the region, fled for his life and spent seven years walking through deserts, grasslands and forests, crossing crocodile-infested rivers, surviving life in massive refugee camps. The so-called Lost Boys of Sudan ƒ?? as they were called by an American aid organization ƒ?? numbered as many as 27,000, and while many died ƒ?? from starvation, attacks by wild animals, drowning, or through the brutality of the military ƒ?? many survived. Jacob never returned to his village, but though he was only seven years old when he had to flee, he somehow managed to live through an almost unimaginable ordeal.

Throughout the seven years covered in this story, Jacob resists the temptation to join the liberation army. Steadily Jacob finds himself more and more adhering to his mother's advice that getting an education is crucial to escaping the cycle of violence that afflicts his country. Jacob's struggle, then, is to persist in seeking out teachers and eventually a school where his ambition to learn about the world can be met. Through it all he learns about loyalty and love for close friends who have been thrust together with him on this extraordinary journey, and also about the guiding light provided by the memory of his mother.","Sudanese","","No","South Sudan , Ethiopia","Africa","SS","ET","Sub-Saharan Africa","Jan Coates",NA,"Yes",NA,NA,"Sudanese","","Sudanese"
"356","Lost Girl Found","Sudan","South Sudan","Laura","DeLuca","12+","Middle Grade","Available in Paperback","For Poni, life in her small village in southern Sudan is simple and complicated at the same time. Stay in school. Beat up any boy who tries to show attention. Watch out for the dangers in the river. But then the war comes. And when soldiers arrive in her village, and bombs begin to rain from the sky, there is only one thing for Poni to do. Run. Run for her life. Poni does run from the bombs, and though many of the villagers do not escape, she does. An unknown man carries her across the river in the dark, and then she is walking a long, dusty trek across the east African countryside with thousands of refugees. Along the way, many die from starvation, land mines, wild animals and despair, but Poni does not, driven by the sheer will to survive and the hope that she can somehow make it to the Kakuma refugee camp in Kenya, and one day be reunited with her family. She does make it to Kakuma, where she is almost overwhelmed by misery that surrounds her. Only Lokure, a boy from her village, can give her the emotional and intellectual sustenance that she craves as much as food. But when her foster mother makes plans to exchange her in marriage for a meager dowry, Poni realizes that she must leave the camp at any cost. Her destination is a compound in Nairobi run by the strict Sister Hannah. There, if she is lucky, she will be able to continue her education and even, one day, convince authorities that she is worthy to go to the land of opportunity called America. Even more than the dramatic events of the story, it is Poni's frank and single-minded personality that carries this novel. She is willing to do whatever it takes to live, but she certainly doesn't escape survivor's guilt. In a heartbreaking final twist,she must make the hardest decision of all.","Sudanese","Kenyan","No","Sudan , South Sudan","Africa","SD","SS","Sub-Saharan Africa","Laura DeLuca",NA,"Yes",NA,NA,"Sudanese","Kenyan","Sudanese , Kenyan"
"357","New Mainers: Portraits of Our Immigrant Neighbors","Sudan","","Pat","Nyhan","14+","Non-fiction","Available in Paperback","Who are these new Mainers, and why have they come here? They are from war-torn countries such as Somalia, Sudan, Afghanistan, and Cambodia; from poor Latin American nations; and from economically vibrant places like Hong Kong, India, and Europe--in other words, from across the global spectrum. They came to Maine for a job or to reunite with their family or because they fell in love or to attend college here or to flee persecution in their homelands. Although the twenty-five immigrants who tell their stories had widely varying reasons for coming to Maine, many have made remarkable contributions to the state. Some contribute high-level skills in medicine, engineering, academia, law, public-school education, hotel management, and social services. Others have enriched the state's arts and sports worlds. Several are used to going back and forth across borders, either as transnational professionals or as migrant workers. About one-third of these immigrants are successful entrepreneurs. As you will find out, the journeys of these immigrants have not been easy, but all of them are glad they wound up in this state and are proud of their new identities as Mainers.","Sudanese","Cambodian","No","Sudan","Africa","SD",NA,"Sub-Saharan Africa","Pat Nyhan",NA,"Yes",NA,NA,"Sudanese","Cambodian","Sudanese , Cambodian"
"358","My Name is Sangoel","","","Karen Lyan and Khadra","Williams and Mohammed","6+","Picture Book","Available in Hardcover","Sangoel is a refugee. Leaving behind his homeland of Sudan, where his father died in the war, he has little to call his own other than his name, a Dinka name handed down proudly from his father and grandfather before him. When Sangoel and his mother and sister arrive in the United States, everything seems very strange and unlike home. In this busy, noisy place, with its escalators and television sets and traffic and snow, Sangoel quietly endures the fact that no one can pronounce his name. Lonely and homesick, he finally comes up with an ingenious solution to this problem, and in the process he at last begins to feel at home.","Sudanese","","No","",NA,NA,NA,NA,"Karen Lyan and Khadra Williams and Mohammed","Yes",NA,NA,NA,"Sudanese","","Sudanese"
"359","A Long Walk to Water","Sudan","","Linda Sue","Park","9+","Chapter Book","Available in Hardcover & Paperback","Nya goes to the pond to fetch water for her family. She walks eight hours every day. Salva walks away from his war-torn village. He is a ƒ??lost boyƒ?— refugee, destined to cover Africa on foot, searching for his family and safety. Two young people . . . two stories. One country: Sudan. This mesmerizing dual narrative follows two threadsƒ??one unfolding in 2008 and one in 1985ƒ??with one hopeful message: that even in a troubled country, determined survivors may find the future they are hoping for.
","Sudanese","","No","Sudan","Africa","SD",NA,"Sub-Saharan Africa","Linda Sue Park","Yes","Yes",NA,NA,"Sudanese","","Sudanese"
"360","Red Pencil","Sudan","","Andrea","Davis Pinkney","9+","Chapter Book","Available in Hardcover, Paperback, Audio","""Amira, look at me,"""" Muma insists. She collects both my hands in hers. """"The Janjaweed attack without warning. If ever they come-- run."""" Finally, Amira is twelve. Old enough to wear a toob, old enough for new responsibilities. And maybe old enough to go to school in Nyala-- Amira's one true dream. But life in her peaceful Sudanese village is shattered when the Janjaweed arrive. The terrifying attackers ravage the town and unleash unspeakable horrors. After she loses nearly everything, Amira needs to dig deep within herself to find the strength to make the long journey-- on foot-- to safety at a refugee camp. Her days are tough at the camp, until the gift of a simple red pencil opens her mind-- and all kinds of possibilities. New York Times bestselling and Coretta Scott King Award-winning author Andrea Davis Pinkney's powerful verse and Coretta Scott King Award-winning artist Shane W. Evans's breathtaking illustrations combine to tell an inspiring tale of one girl's triumph against all odds.","Sudanese","","No","Sudan","Africa","SD",NA,"Sub-Saharan Africa","Andrea Davis Pinkney","Yes","Yes","Yes",NA,"Sudanese","","Sudanese"
"361","A Hope More Powerful Than the Sea: One Teen Refugee's Incredible Story of Love, Loss, and Survival: Young Readers' Edition","Syria","Egypt","Melissa","Fleming","12+","Non-fiction","Available in Paperback","A Hope More Powerful Than the Sea tells the story of Doaa Al-Zamel, a Syrian girl whose life was upended in 2011 by her country's brutal civil war. She and her family escape to Egypt, but life soon quickly becomes dangerous for Syrians in that country. Doaa and her fiance decide to flee to Europe to seek safety and an education, but four days after setting sail on a smuggler's dilapidated fishing vessel along with five hundred other refugees, their boat is struck and begins to sink... Doaa's eye-opening story, as told by Melissa Fleming, represents the millions of unheard voices of refugees who risk everything in a desperate search for a safe future.","Syrian","","Yes","Syria , Egypt","Asia","SY","EG","Middle East & North Africa","Melissa Fleming",NA,"Yes",NA,NA,"Syrian","","Syrian"
"362","A Land of Permanent Goodbyes","Syria","Turkey","Atia","Abawi","12+","Middle Grade","Available in Hardcover & Paperback","Narrated by Destiny, this heartbreaking and timely story of refugees escaping from war-torn Syria is masterfully told by a foreign news correspondent who experienced the crisis firsthand. In a country ripped apart by war, Tareq lives with his big and loving family . . . until the bombs strike. His city is in ruins. His life is destroyed. And those who have survived are left to figure out their uncertain future. In the wake of destruction, he's threatened by Daesh fighters and witnesses a public beheading. Tareq's family knows that to continue to stay alive, they must leave. As they travel as refugees from Syria to Turkey to Greece, facing danger at every turn, Tareq must find the resilience and courage to complete his harrowing journey. But while this is one family's story, it is also the timeless tale of all wars, of all tragedy, and of all strife. When you are a refugee, success is outliving your loss. Destiny narrates this heartbreaking story of the consequences of war, showing the Syrian conflict as part of a long chain of struggles spanning through time. An award-winning author and journalist and a refugee herself Atia Abawi captures the hope that spurs people forward against all odds and the love that makes that hope grow.","Syrian","","Yes","Syria , Turkey","Asia","SY","TR","Middle East & North Africa","Atia Abawi","Yes","Yes",NA,NA,"Syrian","","Syrian"
"363","Sadia","Syria","","Colleen","Nelson","12+","Middle Grade","Available in Paperback","Fifteen-year-old Sadia Ahmadi is passionate about one thing: basketball. Her best friend Mariam, on the other hand, wants to get noticed by the popular crowd and has started de-jabbing, removing her hijab, at school every morning. Sadia's mom had warned her that navigating high school could be tricky. As much as she hates to admit it, her mom was right. When tryouts for an elite basketball team are announced, Sadia jumps at the opportunity. Her talent speaks for itself. Her head scarf, on the other hand, is a problem; especially when a discriminatory rule means she has to choose between removing her hijab and not playing. Mariam, Sadia's parents, and her teammates all have different opinions about what she should do. But it is Sadia who has to find the courage to stand up for herself and fight for what is right on and off the court.","Syrian","Syrian Canadian","No","Syria","Asia","SY",NA,"Middle East & North Africa","Colleen Nelson",NA,"Yes",NA,NA,"Syrian","Syrian Canadian","Syrian , Syrian Canadian"
"364","Dear World: A Syrian Girl's Story of War and Plea for Peace","Syria","Turkey","Bana","Alabed","14+","Non-fiction","Available in Paperback, Audio","When seven-year-old Bana Alabed took to Twitter to describe the horrors she and her family were experiencing in war-torn Syria, her heartrending messages touched the world and gave a voice to millions of innocent children. Bana's happy childhood was abruptly upended by civil war when she was only three years old. Over the next four years, she knew nothing but bombing, destruction, and fear. Her harrowing ordeal culminated in a brutal siege where she, her parents, and two younger brothers were trapped in Aleppo, with little access to food, water, medicine, or other necessities. Facing death as bombs relentlessly fell around them one of which completely destroyed their home Bana and her family embarked on a perilous escape to Turkey. In Bana's own words, and featuring short, affecting chapters by her mother, Fatemah, Dear World is not just a gripping account of a family endangered by war; it offers a uniquely intimate, child's perspective on one of the biggest humanitarian crises in history. Bana has lost her best friend, her school, her home, and her homeland. But she has not lost her hope for herself and for other children around the world who are victims and refugees of war and deserve better lives. Dear World is a powerful reminder of the resilience of the human spirit, the unconquerable courage of a child, and the abiding power of hope. It is a story that will leave you changed.","Syrian","","Yes","Syria , Turkey","Asia","SY","TR","Middle East & North Africa","Bana Alabed",NA,"Yes","Yes",NA,"Syrian","","Syrian"
"365","The Unwanted: Stories of the Syrian Refugees","Syria","Turkey","Don","Brown","15+","Graphic Novel","Available in Hardcover","Starting in 2011, refugees flood out of war-torn Syria in Exodus-like proportions. The surprising flood of victims overwhelms neighboring countries, and chaos follows. Resentment in host nations heightens as disruption and the cost of aid grows. By 2017, many want to turn their backs on the victims. The refugees are the unwanted. Don Brown depicts moments of both heartbreaking horror and hope in the ongoing Syrian refugee crisis. Shining a light on the stories of the survivors, The Unwanted is a testament to the courage and resilience of the refugees and a call to action for all those who read.","Syrian","","No","Syria , Turkey","Asia","SY","TR","Middle East & North Africa","Don Brown","Yes",NA,NA,NA,"Syrian","","Syrian"
"366","Sea Prayer","Syria","","Khaled","Hosseini","15+","Young Adult","Available in Hardcover","A short, powerful, illustrated book written by beloved novelist Khaled Hosseini in response to the current refugee crisis, Sea Prayer is composed in the form of a letter, from a father to his son, on the eve of their journey. Watching over his sleeping son, the father reflects on the dangerous sea-crossing that lies before them. It is also a vivid portrait of their life in Homs, Syria, before the war, and of that city's swift transformation from a home into a deadly war zone. Impelled to write this story by the haunting image of young Alan Kurdi, the three-year-old Syrian boy whose body washed upon the beach in Turkey in September 2015, Hosseini hopes to pay tribute to the millions of families, like Kurdi's, who have been splintered and forced from home by war and persecution, and he will donate author proceeds from this book to the UNHCR (the UN Refugee Agency) and The Khaled Hosseini Foundation to help fund lifesaving relief efforts to help refugees around the globe. Khaled Hosseini is one of the most widely read writers in the world, with more than fifty-five million copies of his novels sold worldwide in more than seventy countries. Hosseini is also a Goodwill Envoy to the UNHCR, and the founder of The Khaled Hosseini Foundation, a nonprofit that provides humanitarian assistance to the people of Afghanistan.","Syrian","","No","Syria","Asia","SY",NA,"Middle East & North Africa","Khaled Hosseini","Yes",NA,NA,NA,"Syrian","","Syrian"
"367","Stepping Stones: A Refugee Family's Journey","Syria","Unspecified (Europe)","Margriet","Ruurs","5+","Picture Book","Available in Hardcover","This unique picture book was inspired by the stone artwork of Syrian artist Nizar Ali Badr, discovered by chance by Canadian children's writer Margriet Ruurs. The author was immediately impressed by the strong narrative quality of Mr. Badr's work, and, using many of Mr. Badr's already-created pieces, she set out to create a story about the Syrian refugee crisis. Stepping Stones tells the story of Rama and her family, who are forced to flee their once-peaceful village to escape the ravages of the civil war raging ever closer to their home. With only what they can carry on their backs, Rama and her mother, father, grandfather and brother, Sami, set out to walk to freedom in Europe. Nizar Ali Badr's stunning stone images illustrate the story.","Syrian","","Yes","Syria , Unspecified (Europe)","Asia","SY",NA,"Middle East & North Africa","Margriet Ruurs","Yes",NA,NA,NA,"Syrian","","Syrian"
"368","Tomorrow","Syria","","Nadine","Kaadan","5+","Picture Book","Available in Hardcover","Yazan no longer goes to the park to play, and he no longer sees his friend who lives next door. Everything around him is changing. His parents sit in front of the television with the news turned up LOUD and Yazan's little red bike leans forgotten against the wall. Will he ever be able to go outside and play? An uplifting story about a courageous little boy growing up in a time of conflict, and the strength of family love.","Syrian","","No","Syria","Asia","SY",NA,"Middle East & North Africa","Nadine Kaadan","Yes",NA,NA,NA,"Syrian","","Syrian"
"369","My Beautiful Birds","Syria","Unspecified","Suzanne","Del Rizzo","6+","Picture Book","Available in Hardcover","Behind Sami, the Syrian skyline is full of smoke. The boy follows his family and all his neighbors in a long line, as they trudge through the sands and hills to escape the bombs that have destroyed their homes. But all Sami can think of is his pet pigeons will they escape too? When they reach a refugee camp and are safe at last, everyone settles into the tent city. But though the children start to play and go to school again, Sami can't join in. When he is given paper and paint, all he can do is smear his painting with black. He can't forget his birds and what his family has left behind. One day a canary, a dove, and a rose finch fly into the camp. They flutter around Sami and settle on his outstretched arms. For Sami it is one step in a long healing process at last. A gentle yet moving story of refugees of the Syrian civil war, My Beautiful Birds illuminates the ongoing crisis as it affects its children. It shows the reality of the refugee camps, where people attempt to pick up their lives and carry on. And it reveals the hope of generations of people as they struggle to redefine home.
","Syrian","","No","Syria , Unspecified","Asia","SY",NA,"Middle East & North Africa","Suzanne Del Rizzo","Yes",NA,NA,NA,"Syrian","","Syrian"
"370","Other Words For Home","Syria","United States","Jasmine","Warga","8+","Middle Grade","Available in Hardcover & Audio","Jude never thought she?d be leaving her beloved older brother and father behind, all the way across the ocean in Syria. But when things in her hometown start becoming volatile, Jude and her mother are sent to live in Cincinnati with relatives. At first, everything in America seems too fast and too loud. The American movies that Jude has always loved haven?t quite prepared her for starting school in the US?and her new label of ?Middle Eastern,? an identity she?s never known before. But this life also brings unexpected surprises?there are new friends, a whole new family, and a school musical that Jude might just try out for. Maybe America, too, is a place where Jude can be seen as she really is. This lyrical, life-affirming story is about losing and finding home and, most importantly, finding yourself.","Syrian","Syrian American","No","Syria , United States","Asia","SY","US","Middle East & North Africa","Jasmine Warga","Yes",NA,"Yes",NA,"Syrian","Syrian","Syrian"
"371","The Boy At the Back of the Class","Syria","","Onjali Q.","Rauf","8+","Chapter Book","Available in Hardcover","There used to be an empty chair at the back of Mrs. Khan's classroom, but on the third Tuesday of the school year a new kid fills it: nine-year-old Ahmet, a Syrian refugee. The whole class is curious about this new boy--he doesn't seem to smile, and he doesn't talk much. But after learning that Ahmet fled a Very Real War and was separated from his family along the way, a determined group of his classmates bands together to concoct the Greatest Idea in the World--a magnificent plan to reunite Ahmet with his loved ones. Balancing humor and heart, this relatable story about the refugee crisis from the perspective of kids highlights the community-changing potential of standing as an ally and reminds readers that everyone deserves a place to call home.","Syrian","","Yes","Syria","Asia","SY",NA,"Middle East & North Africa","Onjali Q. Rauf","Yes",NA,NA,NA,"Syrian","","Syrian"
"372","Nowhere Boy","Syria","","Katherine","Marsh","9+","Chapter Book","Available in Hardcover & Audio","Nowhere Boy is a timely, poignant tale of family, sacrifice and the friendship between a young Syrian refugee and an American boy living in Brussels. Fourteen-year-old Ahmed is stuck in a city that wants nothing to do with him. Newly arrived in Brussels, Belgium, Ahmed fled a life of uncertainty and suffering in Syria, only to lose his father on the perilous journey to the shores of Europe. Now Ahmed's struggling to get by on his own, but with no one left to trust and nowhere to go, he's starting to lose hope. Then he meets Max, a thirteen-year-old American boy. Lonely and homesick, Max is struggling at his new school and just can't seem to do anything right. But with one startling discovery, Max and Ahmed's lives collide and a friendship begins to grow. Together, Max and Ahmed' will defy the odds, learning from each other what it means to be brave and how hope can change your destiny. Set against the backdrop of the Syrian refugee crisis, award-winning author Katherine Marsh delivers a gripping, heartwarming story of resilience, friendship and everyday heroes.","Syrian","Moroccan (Secondary Character)","No","Syria","Asia","SY",NA,"Middle East & North Africa","Katherine Marsh","Yes",NA,"Yes",NA,"Syrian","Moroccan","Syrian , Moroccan"
"373","Zenobia","Syria","","Morten","Durr","9+","Graphic Novel","Available in Hardcover","Zenobia was once a great warrior queen of Syria whose reign reached from Egypt to Turkey. She was courageous. No one gave her orders. Once she even went to war against the emperor of Rome. When things feel overwhelming for Amina, her mother reminds her to think of Zenobia and be strong. Amina is a Syrian girl caught up in a war that reaches her village. To escape the war she boards a small boat crammed with other refugees. The boat is rickety and the turbulent seas send Amina overboard. In the dark water Amina remembers playing hide and seek with her mother and making dolmas (stuffed grape leaves) and the journey she had to undertake with her uncle to escape. And she thinks of the brave warrior Zenobia. Zenobia is a heartbreaking and all-too-real story of one child's experience of war. Told with great sensitivity in few words and almost exclusively with pictures, Zenobia is a story for children and adults.","Syrian","","No","Syria","Asia","SY",NA,"Middle East & North Africa","Morten Durr","Yes",NA,NA,NA,"Syrian","","Syrian"
"374","Escape from Aleppo","Syria","","N. H.","Senzai","9+","Middle Grade","Available in Hardcover & Paperback","Nadia's family is forced to flee their home in Aleppo, Syria, when the Arab Spring sparks a civil war in this timely coming-of-age novel from award-winning author N.H. Senzai. Silver and gold balloons. A birthday cake covered in pink roses. A new dress. Nadia stands at the center of attention in her parents' elegant dining room. This is the best day of my life, she thinks. Everyone is about to sing Happy Birthday, when her uncle calls from the living room, Baba, brothers, you need to see this. Reluctantly, she follows her family into the other room. On TV, a reporter stands near an overturned vegetable cart on a dusty street. Beside it is a mound of smoldering ashes. The reporter explains that a vegetable vendor in the city of Tunis burned himself alive, protesting corrupt government officials who have been harassing his business. Nadia frowns. It is December 17, 2010: Nadia's twelfth birthday and the beginning of the Arab Spring. Soon anti-government protests erupt across the Middle East and, one by one, countries are thrown into turmoil. As civil war flares in Syria and bombs fall across Nadia's home city of Aleppo, her family decides to flee to safety. Inspired by current events, this novel sheds light on the complicated situation in Syria that has led to an international refugee crisis, and tells the story of one girl's journey to safety.","Syrian","","No","Syria","Asia","SY",NA,"Middle East & North Africa","N. H. Senzai","Yes","Yes",NA,NA,"Syrian","","Syrian"
"375","A Refugee's Journey from Syria","Syria","","Helen","Mason","9+","Non-fiction","Available in Library Edition & Paperback","Five-year-old Roj's home is bombed during the civil war that has been raging in his homeland of Syria. He and his family are forced to flee the country secretly by boat, and they end up in a camp for refugees in Europe. Interspersed with facts about Syria and its people, this narrative tells a story common to many refugees fleeing the country. The book looks at the efforts being made around the world to assist the millions of refugees. Readers are encouraged to consider how they can help refugees in their communities and around the world.","Syrian","","No","Syria","Asia","SY",NA,"Middle East & North Africa","Helen Mason",NA,"Yes",NA,NA,"Syrian","","Syrian"
"376","American Panda","Taiwan","","Gloria","Chao","12+","Middle Grade","Available in Hardcover & Paperback","At seventeen, Mei should be in high school, but skipping fourth grade was part of her parents' master plan. Now a freshman at MIT, she is on track to fulfill the rest of this predetermined future: become a doctor, marry a preapproved Taiwanese Ivy Leaguer, produce a litter of babies. With everything her parents have sacrificed to make her cushy life a reality, Mei can't bring herself to tell them the truth that she (1) hates germs, (2) falls asleep in biology lectures, and (3) has a crush on her classmate Darren Takahashi, who is decidedly not Taiwanese. But when Mei reconnects with her brother, Xing, who is estranged from the family for dating the wrong woman, Mei starts to wonder if all the secrets are truly worth it. Can she find a way to be herself, whoever that is, before her web of lies unravels? From debut author Gloria Chao comes a hilarious, heartfelt tale of how, unlike the panda, life isn't always so black and white.","Taiwanese American","Japanese American","Yes","Taiwan","Asia","TW",NA,"East Asia & Pacific","Gloria Chao","Yes","Yes",NA,NA,"Taiwanese","Japanese","Taiwanese , Japanese"
"377","The Astonishing Color of After","United States","Taiwan","Emily X. R.","Pan","15+","Young Adult","Available in Hardcover, Paperback, Audio","Leigh Chen Sanders is absolutely certain about one thing: When her mother died by suicide, she turned into a bird. Leigh, who is half Asian and half white, travels to Taiwan to meet her maternal grandparents for the first time. There, she is determined to find her mother, the bird. In her search, she winds up chasing after ghosts, uncovering family secrets, and forging a new relationship with her grandparents. And as she grieves, she must try to reconcile the fact that on the same day she kissed her best friend and longtime secret crush, Axel, her mother was taking her own life. Alternating between real and magic, past and present, friendship and romance, hope and despair, The Astonishing Color of After is a stunning and heartbreaking novel about finding oneself through family history, art, grief, and love.","Taiwanese American","Filipino","Yes","United States , Taiwan","Americas","US","TW","North America","Emily X. R. Pan","Yes","Yes","Yes",NA,"Taiwanese","Filipino","Taiwanese , Filipino"
"378","The Way to Bea","Taiwan","","Kat","Yeh","9+","Chapter Book","Available in Paperback & Audio","Everything in Bea's world has changed. She's starting seventh grade newly friendless and facing big changes at home, where she is about to go from only child to big sister. Feeling alone and adrift, and like her words don't deserve to be seen, Bea takes solace in writing haiku in invisible ink and hiding them in a secret spot. But then something incredible happens someone writes back. And Bea begins to connect with new friends, including a classmate obsessed with a nearby labyrinth and determined to get inside. As she decides where her next path will lead, she just might discover that her words and herself have found a new way to belong.","Taiwanese American","","Yes","Taiwan","Asia","TW",NA,"East Asia & Pacific","Kat Yeh",NA,"Yes","Yes",NA,"Taiwanese","","Taiwanese"
"379","Drawn Together","Thailand","","Minh","Le","5+","Picture Book","Available in Hardcover","When a young boy visits his grandfather, their lack of a common language leads to confusion, frustration, and silence. But as they sit down to draw together, something magical happens-with a shared love of art and storytelling, the two form a bond that goes beyond words. With spare, direct text by Minh Le and luminous illustrations by Caldecott Medalist Dan Santat, this stirring picture book about reaching across barriers will be cherished for years to come.","Thai","Thai American","Yes","Thailand","Asia","TH",NA,"East Asia & Pacific","Minh Le","Yes",NA,NA,NA,"Thai","Thai","Thai"
"380","The Gold-Threaded Dress","Thailand","","Carolyn","Marsden","8+","Chapter Book","Available in Paperback","In Thailand she was named Oy, but here in America the teachers call her Olivia. Other things are not so easy to change, however. When Oy draws a portrait of herself with brown hair and eyes as round as coins, her classmate Frankie makes fun of her and calls her Chinese. And the popular girl Liliandra barely speaks to her, until she learns that Oy has something very special: a Thai dancing dress from her grandmother, shimmering with pink silk and golden threads, that makes her look like a princess. Will Oy risk shaming her family to win Liliandra's approval - and be part of the club she has envied from afar? With compassion and rare insight, Carolyn Marsden tells a simple tale about a young girl who searches for acceptance in a complex culture, while learning to treasure all that she is.","Thai","Arizona","No","Thailand","Asia","TH",NA,"East Asia & Pacific","Carolyn Marsden",NA,"Yes",NA,NA,"Thai","","Thai"
"381","Bread Song","United States","","Frederick","Lipp","6+","Picture Book","Available in Hardcover","Hoping to make eight-year-old Chamnan, a new immigrant from Thailand, feel more at home, the owner of a Portland, Maine bakery invites him and his grandfather to hear the bread sing.","Thai American","","No","United States","Americas","US",NA,"North America","Frederick Lipp","Yes",NA,NA,NA,"Thai","","Thai"
"382","Meltem's Journey","Turkey","Germany","Anthony","Robinson","8+","Picture Book","Publisher Out of Stock","This fourth book in the Refugee Diary series follows a Kurdish family from Eastern Turkey. 13 year old Meltem tells the story of their journey to the UK, and the harrowing months waiting to find out if they can stay in Britain. Meltem encounters racism, her father goes missing and the family is sent to Yarl's Wood detention centre. But the end of the story is full of hope for the future, as the family is at last given permission to stay in the UK and Meltem starts a new school and makes friends.","Turkish","","No","Turkey , Germany","Asia","TR","DE","Europe & Central Asia","Anthony Robinson",NA,NA,NA,"Yes","Turkish","","Turkish"
"383","Soldier Boy","Uganda","","Keely","Hutton","12+","Middle Grade","Available in Hardcover, Paperback, Audio","Soldier Boy begins with the story of Ricky Richard Anywar, abducted at age fourteen in 1989 to fight with Joseph Kony's rebel army in Uganda's decades-long civil war. Ricky is trained, armed, and forced to fight government soldiers alongside his brutal kidnappers, but never stops dreaming of escape. The story continues twenty years later, with a fictionalized character named Samuel, representative of the thousands of child soldiers Ricky eventually helped rehabilitate as founder of the internationally acclaimed charity Friends of Orphans. Working closely with Ricky himself, debut author Keely Hutton has written an eye-opening book about a boy's unbreakable spirit and indomitable courage. Beginning in Africa amidst the horrors of civil war, his is a story that is as uplifting as it is heartwrenching.","Ugandan","","No","Uganda","Africa","UG",NA,"Sub-Saharan Africa","Keely Hutton","Yes","Yes","Yes",NA,"Ugandan","","Ugandan"
"384","Joseph's Big Ride","Kenya","United States","Terry","Farish","5+","Picture Book","Available in Hardcover & Paperback","A refugee boy's determination to ride a bicycle leads to an unexpected friendship. Joseph wants only one thing: to ride a bike. In the refugee camp where he lives, Joseph helps one of the older boys fix his bike, but he's too small to ride it. Joseph and his mother travel to America, where everything is strange and new. One day, he spots a red bike that seems just right for him! It belongs to a girl with a whoosh of curly hair. When Whoosh crashes her bike, Joseph offers to fix it. His big chance has finally come, except that Joseph doesn't know how to ride! He crashes a few times, picks himself up, and tries again, until suddenly, with a shout of triumph, he's riding the bike. Inspired by the author's interviews with refugee children from Sudan, this gentle story evokes the experience of a new immigrant. Vibrantly colorful paintings bring a warm and humorous portrait of friendship and diversity to life.","Unnamed East African refugee family","","No","Kenya , United States","Africa","KE","US","Sub-Saharan Africa","Terry Farish","Yes","Yes",NA,NA,"African","","African"
